# syn_a_soft_axioms.txt — Tier B soft biconditional axiom candidates
# Generated by pick_canonicals_a.py --emit
# Sources: UNSAFE cluster (canonical,member) pairs from syn_a_10.txt
#          + syn_a_soft_pairs.txt (harvested sub-canonical pairs)
# Format: word_a,word_b,score
#
astonishing,astounding,0.99
amazed,astounded,0.98
amazing,awesome,0.98
annoying,irritating,0.98
delicious,scrumptious,0.98
delicious,yummy,0.98
grey,gray,0.98
outraged,incensed,0.98
terrified,frightened,0.98
amazed,astonished,0.97
colored,coloured,0.97
damn,damned,0.97
damn,goddamn,0.97
delicious,delectable,0.97
disgusting,revolting,0.97
favorite,favourite,0.97
flooded,inundated,0.97
hated,despised,0.97
hated,detested,0.97
limiting,restricting,0.97
muddy,mucky,0.97
northeast,northeastern,0.97
northwest,northwestern,0.97
organized,organised,0.97
shocked,appalled,0.97
southwest,southwestern,0.97
teen,teenage,0.97
thriving,flourishing,0.97
astonishing,staggering,0.96
astounding,astaggering,0.96
brown,brownish,0.96
damn,darned,0.96
damn,goddam,0.96
damn,goddamned,0.96
daring,audacious,0.96
disgusting,distasteful,0.96
dominant,predominant,0.96
dressed,attired,0.96
dressed,garbed,0.96
engraved,etched,0.96
engraved,inscribed,0.96
etched,inscribed,0.96
fake,phony,0.96
fascinated,mesmerized,0.96
goddamned,damned,0.96
goddamned,darned,0.96
goddamned,goddam,0.96
goddamned,goddamn,0.96
licensed,licenced,0.96
lit,lighted,0.96
lush,luxuriant,0.96
mocking,taunting,0.96
mourning,grieving,0.96
outraged,indignant,0.96
personalized,personalised,0.96
pissed,annoyed,0.96
pissed,miffed,0.96
pissed,peeved,0.96
shocked,aghast,0.96
shocked,dismayed,0.96
southeast,southeastern,0.96
spiral,spiraling,0.96
staggering,astounding,0.96
tempting,enticing,0.96
terrified,panicked,0.96
thriving,prospering,0.96
active,energetic,0.95
alive,living,0.95
amazed,stunned,0.95
ancient,old,0.95
annoyed,pestered,0.95
annoying,bothersome,0.95
boring,dull,0.95
brave,courageous,0.95
clear,obvious,0.95
common,ordinary,0.95
complex,complicated,0.95
delicious,luscious,0.95
disappointed,frustrated,0.95
discouraged,disheartened,0.95
disgusting,loathsome,0.95
fake,bogus,0.95
fake,false,0.95
far,distant,0.95
fascinated,transfixed,0.95
fascinating,engrossing,0.95
fascinating,riveting,0.95
forthright,candid,0.95
frank,candid,0.95
frank,forthright,0.95
free,available,0.95
giant,gargantuan,0.95
glorious,resplendent,0.95
glorious,splendid,0.95
glorious,splendiferous,0.95
