# syn_n_soft_axioms.txt — Tier B soft biconditional axiom candidates
# Generated by pick_canonicals_n.py --emit
# Sources: UNSAFE cluster (canonical,member) pairs from syn_n_10.txt
#          + syn_n_soft_pairs.txt (harvested sub-canonical pairs)
# Format: word_a,word_b,score
#
flying_colors,flying_colours,1.00
food_color,food_colour,1.00
party_favor,party_favour,1.00
traveling_bag,travelling_bag,1.00
basic_color,basic_colour,0.99
biological_defense,biological_defence,0.99
call_center,call_centre,0.99
chemical_defense,chemical_defence,0.99
computer_program,computer_programme,0.99
crash_program,crash_programme,0.99
dead_center,dead_centre,0.99
dinner_theatre,dinner_theater,0.99
financial_organization,financial_organisation,0.99
home_theatre,home_theater,0.99
international_organization,international_organisation,0.99
line_of_defense,line_of_defence,0.99
line_organization,line_organisation,0.99
little_theatre,little_theater,0.99
manual_labor,manual_labour,0.99
movie_theatre,movie_theater,0.99
musical_organization,musical_organisation,0.99
muslim,moslem,0.99
nerve_center,nerve_centre,0.99
news_organization,news_organisation,0.99
oil_color,oil_colour,0.99
operating_theatre,operating_theater,0.99
person_of_color,person_of_colour,0.99
poster_color,poster_colour,0.99
primary_color,primary_colour,0.99
professional_organization,professional_organisation,0.99
shopping_center,shopping_centre,0.99
skin_color,skin_colour,0.99
social_organization,social_organisation,0.99
sword_dance,sword_dancing,0.99
tap_dance,tap_dancing,0.99
traveling_wave,travelling_wave,0.99
underground_railway,underground_railroad,0.99
air_transport,air_transportation,0.98
break_dance,break_dancing,0.98
city_center,city_centre,0.98
example,instance,0.98
folk_dance,folk_dancing,0.98
gay,homosexual,0.98
king_james,king_james_i,0.98
phone_jack,telephone_jack,0.98
phone_line,telephone_line,0.98
storm_center,storm_centre,0.98
battle_of_wake,battle_of_wake_island,0.97
behavior,behaviour,0.97
buying,purchasing,0.97
color,colour,0.97
defense_reaction,defence_reaction,0.97
fight,fighting,0.97
floor_cover,floor_covering,0.97
ground_noise,background_noise,0.97
labor,labour,0.97
law_of_conservation_of_matter,law_of_conservation_of_mass,0.97
mental_test,mental_testing,0.97
push,pushing,0.97
restaurant,eatery,0.97
savings_and_loan,savings_and_loan_association,0.97
square_dance,square_dancing,0.97
television,tv,0.97
american_football,american_football_game,0.96
applied_math,applied_mathematics,0.96
argument,argumentation,0.96
author,writer,0.96
award,accolade,0.96
city_limit,city_limits,0.96
david_bruce,sir_david_bruce,0.96
dream,dreaming,0.96
dress,frock,0.96
entrance_exam,entrance_examination,0.96
federal_reserve,federal_reserve_system,0.96
fixed_cost,fixed_costs,0.96
fresh_food,fresh_foods,0.96
frozen_food,frozen_foods,0.96
golden_star,golden_stars,0.96
government_accounting_office,united_states_government_accounting_office,0.96
hi,hello,0.96
highest_common_factor,greatest_common_factor,0.96
horse_trade,horse_trading,0.96
kill,killing,0.96
least_common_multiple,lowest_common_multiple,0.96
natural_resources,natural_resource,0.96
nerve_end,nerve_ending,0.96
offer,offering,0.96
ok,okay,0.96
pass,passing,0.96
picture,photo,0.96
picture,pic,0.96
pink_shower,pink_shower_tree,0.96
pull,pulling,0.96
round_dance,round_dancing,0.96
run,running,0.96
saint_lawrence,saint_lawrence_river,0.96
site,website,0.96
steam_heat,steam_heating,0.96
summer,summertime,0.96
support,supporting,0.96
tax,taxation,0.96
us_army_criminal_investigation_laboratory,united_states_army_criminal_investigation_laboratory,0.96
us_government_printing_office,united_states_government_printing_office,0.96
vote,voting,0.96
walk,walking,0.96
wall_of_silence,blue_wall_of_silence,0.96
abuse,maltreatment,0.95
bar_exam,bar_examination,0.95
break,breaking,0.95
cable_television,cable_television_service,0.95
care_delivery,healthcare_delivery,0.95
center_of_gravity,centre_of_gravity,0.95
century,100_years,0.95
charles_i,charles_ii,0.95
choice,option,0.95
drinking,imbibing,0.95
face_lift,face_lifting,0.95
flight_of_steps,flight_of_stairs,0.95
government_printing_office,united_states_government_printing_office,0.95
grey,gray,0.95
health_care_delivery,healthcare_delivery,0.95
holiday,vacation,0.95
home,house,0.95
house_of_worship,place_of_worship,0.95
human_action,human_activity,0.95
ireland,eire,0.95
jail,gaol,0.95
jail,slammer,0.95
james_clark_ross,sir_james_clark_ross,0.95
line_of_least_resistance,path_of_least_resistance,0.95
look,looking,0.95
morning,morn,0.95
necessary,essential,0.95
ok,okey,0.95
picture,photograph,0.95
president,chairman,0.95
rest,remainder,0.95
russia,ussr,0.95
shit,damn,0.95
shot,shooting,0.95
society_of_friends,religious_society_of_friends,0.95
store,shop,0.95
sweet_pepper,sweet_pepper_plant,0.95
thought,idea,0.95
turn,turning,0.95
value,worth,0.95
variety,assortment,0.95
air,atmosphere,0.94
area,region,0.94
arts,humanities,0.94
building,construction,0.94
camp,encampment,0.94
central_american_country,central_american_nation,0.94
coast,seacoast,0.94
coast,seashore,0.94
college,university,0.94
