# syn_v_soft_axioms.txt — Tier B soft biconditional axiom candidates
# Generated by pick_canonicals_v.py --emit
# Sources: UNSAFE cluster (canonical,member) pairs from syn_v_10.txt
#          + syn_v_soft_pairs.txt (harvested sub-canonical pairs)
# Format: word_a,word_b,score
#
court_favor,court_favour,0.99
amaze,astound,0.98
grey,gray,0.98
rumor,rumour,0.98
color,colour,0.97
favor,favour,0.97
install,instal,0.97
license,licence,0.97
relax,unwind,0.97
amaze,astonish,0.96
bet,wager,0.96
center,centre,0.96
ensure,assure,0.96
find,discover,0.96
hate,detest,0.96
learn,teach,0.96
organize,organise,0.96
punish,penalize,0.96
restrict,curtail,0.96
think,guess,0.96
think,suppose,0.96
threaten,endanger,0.96
unite,unify,0.96
word,phrase,0.96
advertise,advertize,0.95
confuse,confound,0.95
define,delineate,0.95
destroy,ruin,0.95
dream,daydream,0.95
enforce,impose,0.95
expect,anticipate,0.95
holiday,vacation,0.95
impact,affect,0.95
incorporate,integrate,0.95
look_out_on,look_out_over,0.95
mud,muck,0.95
satisfy,fulfill,0.95
stare,gaze,0.95
strengthen,fortify,0.95
sweat,perspire,0.95
think,imagine,0.95
think,mean,0.95
threaten,imperil,0.95
threaten,jeopardize,0.95
wake,waken,0.95
admit,acknowledge,0.94
advertise,publicize,0.94
attack,assault,0.94
attribute,ascribe,0.94
bother,annoy,0.94
breathe,respire,0.94
collect,gather,0.94
comfort,solace,0.94
define,delimit,0.94
define,specify,0.94
derive,infer,0.94
dress,garb,0.94
extend,broaden,0.94
fire,burn,0.94
get,come,0.94
hurt,injure,0.94
keep,maintain,0.94
kiss,snog,0.94
lot,allot,0.94
make,create,0.94
organize,coordinate,0.94
perceive,comprehend,0.94
punish,penalise,0.94
rape,assault,0.94
reach,attain,0.94
satisfy,fulfil,0.94
separate,split,0.94
smooth,smoothen,0.94
swear,cuss,0.94
think,reckon,0.94
think,remember,0.94
threaten,jeopardise,0.94
wake,awaken,0.94
write_of,write_on,0.94
accommodate,adapt,0.93
advertise,publicise,0.93
better,improve,0.93
bleed,hemorrhage,0.93
bring,add,0.93
call,phone,0.93
catch,grab,0.93
continue,proceed,0.93
cut,trim,0.93
decide,settle,0.93
derive,deduce,0.93
dress,garment,0.93
ease,alleviate,0.93
expand,enlarge,0.93
extend,widen,0.93
ghost,haunt,0.93
hurt,bruise,0.93
know,recognize,0.93
light,illuminate,0.93
mud,mire,0.93
pray,implore,0.93
pull,rip,0.93
purpose,aim,0.93
raise,elevate,0.93
range,array,0.93
reach,achieve,0.93
relax,decompress,0.93
sign_on,sign_up,0.93
slide,slip,0.93
stop,cease,0.93
take,bring,0.93
translate,interpret,0.93
wake,awake,0.93
accuse,incriminate,0.92
affect,involve,0.92
attack,assail,0.92
attribute,assign,0.92
bother,irritate,0.92
breathe,suspire,0.92
bring,contribute,0.92
bring,lend,0.92
call,holler,0.92
call,shout,0.92
call,telephone,0.92
change_form,change_shape,0.92
color,colorize,0.92
complicate,perplex,0.92
con,scam,0.92
con,swindle,0.92
couple,pair,0.92
deaf,deafen,0.92
decide,adjudicate,0.92
define,delimitate,0.92
designate,denominate,0.92
dirty,grime,0.92
drop,throw,0.92
fake,bullshit,0.92
fat,plump,0.92
filter,filtrate,0.92
find,ascertain,0.92
find,determine,0.92
fly,aviate,0.92
follow,comply,0.92
force,push,0.92
get,go,0.92
get,start,0.92
have,possess,0.92
hurt,ache,0.92
hurt,offend,0.92
isolate,insulate,0.92
jump,skip,0.92
keep,continue,0.92
keep_open,hold_open,0.92
kiss,osculate,0.92
know,acknowledge,0.92
know,love,0.92
know,recognise,0.92
learn,instruct,0.92
light,illumine,0.92
make,prepare,0.92
make,realize,0.92
monitor,supervise,0.92
move,propel,0.92
overcome,overpower,0.92
overcome,overwhelm,0.92
pray,beg,0.92
pulse,pulsate,0.92
pulse,throb,0.92
quiet,hush,0.92
quiet,quieten,0.92
raise,heighten,0.92
reason,argue,0.92
reference,cite,0.92
refuse,defy,0.92
renew,regenerate,0.92
rent,hire,0.92
resign,renounce,0.92
rise,uprise,0.92
see,consider,0.92
see,envision,0.92
see,figure,0.92
see,picture,0.92
see,view,0.92
see,visualise,0.92
see,visualize,0.92
sick,puke,0.92
sick,vomit,0.92
slow,decelerate,0.92
spin,whirl,0.92
spirit,inspirit,0.92
stick,adhere,0.92
stop,quit,0.92
sustain,prolong,0.92
swear,blaspheme,0.92
swear,curse,0.92
switch,shift,0.92
think,intend,0.92
think,opine,0.92
tie,bind,0.92
travel,journey,0.92
trouble,bother,0.92
turn_up_the_pressure,turn_up_the_heat,0.92
use,apply,0.92
vacuum,hoover,0.92
wall,fence,0.92
wonder,marvel,0.92
accuse,criminate,0.91
accuse,impeach,0.91
adventure,venture,0.91
associate,affiliate,0.91
attribute,impute,0.91
avoid,nullify,0.91
bitch,bellyache,0.91
bitch,squawk,0.91
bother,rile,0.91
box,package,0.91
bring,impart,0.91
call,yell,0.91
catch,capture,0.91
chance,gamble,0.91
cheer,hearten,0.91
cluster,clump,0.91
color,colorise,0.91
color,colourise,0.91
color,colourize,0.91
comfort,soothe,0.91
continue,preserve,0.91
continue,uphold,0.91
create_from_raw_stuff,create_from_raw_material,0.91
crown,coronate,0.91
cut,reduce,0.91
cycle,bicycle,0.91
cycle,bike,0.91
deal,cope,0.91
decide,resolve,0.91
delegate,assign,0.91
delegate,depute,0.91
disable,incapacitate,0.91
dress,apparel,0.91
dress,clothe,0.91
drive,push,0.91
drop,fell,0.91
drug,dose,0.91
ease,facilitate,0.91
eliminate,extinguish,0.91
email,netmail,0.91
embrace,hug,0.91
end,finish,0.91
expand,expound,0.91
fall_away,drop_away,0.91
fat,fatten,0.91
favor,prefer,0.91
figure,calculate,0.91
find,observe,0.91
find,retrieve,0.91
fly,pilot,0.91
follow,adopt,0.91
force,pull,0.91
further,advance,0.91
get,acquire,0.91
get,arrive,0.91
get,become,0.91
get,begin,0.91
get,generate,0.91
gift,endow,0.91
give,afford,0.91
give,break,0.91
give,dedicate,0.91
give,pass,0.91
go,run,0.91
hold_firm,stand_firm,0.91
know,fuck,0.91
locate,situate,0.91
look,appear,0.91
look,seem,0.91
lot,deal,0.91
make,build,0.91
make,clear,0.91
make,earn,0.91
make,reach,0.91
make,realise,0.91
mean,intend,0.91
name,mention,0.91
number,count,0.91
open,open_up,0.91
overcome,overtake,0.91
place,order,0.91
plan,project,0.91
print,publish,0.91
prize,prise,0.91
progress,advance,0.91
raise,lift,0.91
raise,promote,0.91
reach,accomplish,0.91
reduce,slenderize,0.91
refuse,resist,0.91
relax,unbend,0.91
research,search,0.91
resign,vacate,0.91
right,correct,0.91
ring,peal,0.91
rule,reign,0.91
say,allege,0.91
say,pronounce,0.91
scratch,rub,0.91
section,segment,0.91
see,reckon,0.91
shake,agitate,0.91
shoot,photograph,0.91
shop,patronize,0.91
show,indicate,0.91
sick,barf,0.91
sin,transgress,0.91
slide,skid,0.91
spin,gyrate,0.91
spread,distribute,0.91
start,initiate,0.91
stop,discontinue,0.91
suggest,hint,0.91
support,substantiate,0.91
support,sustain,0.91
take,choose,0.91
take,lead,0.91
take,withdraw,0.91
take_stage,take_the_stage,0.91
talk,speak,0.91
tell,distinguish,0.91
think,recall,0.91
think,recollect,0.91
threaten,menace,0.91
threaten,peril,0.91
translate,render,0.91
trap,immobilize,0.91
turn,reverse,0.91
value,valuate,0.91
verse,versify,0.91
wall,palisade,0.91
weight,burden,0.91
welsh,welch,0.91
win,succeed,0.91
witch,bewitch,0.91
accept,consent,0.90
affect,regard,0.90
agree,accord,0.90
air,broadcast,0.90
allow,appropriate,0.90
allow,grant,0.90
audit,inspect,0.90
audit,scrutinise,0.90
audit,scrutinize,0.90
avoid,invalidate,0.90
avoid,quash,0.90
baby,pamper,0.90
better,ameliorate,0.90
bitch,gripe,0.90
bitch,holler,0.90
black,blacken,0.90
blow,drift,0.90
bother,chafe,0.90
bother,vex,0.90
break,breach,0.90
break,transgress,0.90
bring,bestow,0.90
call,cry,0.90
call,scream,0.90
carry,conduct,0.90
carry,convey,0.90
carry,transmit,0.90
champion,defend,0.90
chance,risk,0.90
collect,garner,0.90
complete,finish,0.90
con,bunco,0.90
con,gyp,0.90
contact,reach,0.90
cover,encompass,0.90
crush,oppress,0.90
crush,suppress,0.90
damn,bedamn,0.90
deal,grapple,0.90
decline,refuse,0.90
delegate,designate,0.90
derive,deduct,0.90
dog,tail,0.90
draft,outline,0.90
dress,raiment,0.90
drive,motor,0.90
drop,sink,0.90
effect,effectuate,0.90
embarrass,abash,0.90
embrace,bosom,0.90
end,stop,0.90
enter,insert,0.90
expand,dilate,0.90
fail,neglect,0.90
fall,decrease,0.90
find,detect,0.90
find,recover,0.90
find,regain,0.90
fly,flee,0.90
forecast,calculate,0.90
forge,contrive,0.90
forge,devise,0.90
forge,formulate,0.90
forge,invent,0.90
forget,bury,0.90
give,devote,0.90
give,reach,0.90
